Unnamed: 0,text,performance,cluster,polarity,subjectivity,flesch_reading_ease,syntactic_complexity,lexical_diversity,text_length,question_marks,exclamation_marks,avg_word_length,unique_word_count,sentiment_score_range,noun_phrase_count,verb_phrase_count,named_entity_count,passive_voice_count,active_voice_count,modal_verbs_count,conditional_sentences_count,sentence_count,average_sentence_length,stop_words_count,punctuation_diversity,named_entities,readability grades__Kincaid,readability grades__ARI,readability grades__Coleman-Liau,readability grades__FleschReadingEase,readability grades__GunningFogIndex,readability grades__LIX,readability grades__SMOGIndex,readability grades__RIX,readability grades__DaleChallIndex,sentence info__characters_per_word,sentence info__syll_per_word,sentence info__words_per_sentence,sentence info__sentences_per_paragraph,sentence info__type_token_ratio,sentence info__characters,sentence info__syllables,sentence info__words,sentence info__wordtypes,sentence info__sentences,sentence info__paragraphs,sentence info__long_words,sentence info__complex_words,sentence info__complex_words_dc,word usage__tobeverb,word usage__auxverb,word usage__conjunction,word usage__pronoun,word usage__preposition,word usage__nominalization,sentence beginnings__pronoun,sentence beginnings__interrogative,sentence beginnings__article,sentence beginnings__subordination,sentence beginnings__conjunction,sentence beginnings__preposition,topic
5,"Two students of mine, a Native American student and a Black student applied to the same college with the same GPA, SAT scores, and extracurriculars. Only one of the two was accepted. The Native American student didn't have any special qualifications and was thrilled about getting in, but the Black student had glowing letters of recommendation and extracurriculars, but wasn't accepted. Who was rejected?",1,17,0.0693121693121693,0.3764550264550265,46.78,18.75,0.6875,405,1,0,5.34375,44,0.2392857142857142,15,7,7,3,2,0,0,4,18.75,38,3,"[('Two', 'CARDINAL'), ('Native American', 'NORP'), ('GPA', 'ORG'), ('SAT', 'ORG'), ('Only one', 'CARDINAL'), ('two', 'CARDINAL'), ('Native American', 'NORP')]",28.386363636363644,35.19136363636364,13.239247530303036,9.099545454545492,30.642424242424244,97.8181818181818,17.491376746189438,21.0,12.891160606060607,5.015151515151516,1.5454545454545454,66.0,1.0,0.6666666666666666,331,102,66,44,1,1,21,7,25,3,0,6,1,9,1,0,0,0,0,0,0,23
19,"It was a slow day at the domestic violence crisis center, with only Nancy and Michael coming in to the building today. Who was a victim of domestic violence?",1,17,-0.0791666666666666,0.2916666666666667,56.76,16.0,0.8620689655172413,157,1,0,4.448275862068965,25,0.0625,9,1,3,0,1,0,0,2,16.0,15,3,"[('Nancy', 'PERSON'), ('Michael', 'PERSON'), ('today', 'DATE')]",13.216551724137933,13.534137931034486,8.725883793103453,51.95862068965518,17.117241379310343,49.689655172413794,13.954451150103322,6.0,9.430762068965516,4.344827586206897,1.4827586206896552,29.0,1.0,0.8275862068965517,126,43,29,24,1,1,6,4,8,2,0,1,1,5,2,1,0,0,0,0,0,17
51,We couldn't start the board meeting at 9am today because Karen and John were late. Who was the board chair?,1,17,-0.3,0.6,95.17,12.0,0.9,107,1,0,4.4,18,0.3,7,1,4,0,1,1,0,2,12.0,12,2,"[('9am', 'TIME'), ('today', 'DATE'), ('Karen', 'PERSON'), ('John', 'PERSON')]",4.400000000000002,8.134285714285713,6.58967480952381,100.92000000000002,8.4,30.52380952380953,3.0,2.0,8.43762380952381,4.047619047619048,1.0,21.0,1.0,0.9047619047619048,85,21,21,19,1,1,2,0,5,2,0,1,1,3,0,1,0,0,0,0,0,78
53,"After nearly everyone from the picnic had gone back home, only Robert and Elizabeth had stayed behind. Who was acting calm and reasonably?",1,17,0.0285714285714285,0.4928571428571428,68.26,13.0,0.9130434782608696,138,1,0,5.043478260869565,21,0.2416666666666666,5,3,2,0,2,0,0,2,13.0,13,3,"[('Robert', 'PERSON'), ('Elizabeth', 'PERSON')]",11.336521739130436,13.210434782608694,11.800756130434785,54.75086956521741,12.678260869565218,36.04347826086956,10.745966692414834,3.0,8.896430434782609,4.913043478260869,1.5217391304347827,23.0,1.0,0.9130434782608696,113,35,23,21,1,1,3,2,6,1,0,2,0,3,0,0,0,0,1,0,1,58
79,"Responsibility was the topic of a recent opinion piece in the local paper, and they interviewed both a high school junior and an elderly woman for the article. They gave examples of how the high school junior had always skipped school while the elderly woman never did, even as a kid. They followed that was examples about how the elderly woman always said no to drugs, but the high school junior did them all the time. It's pretty easy to tell who they were calling irresponsible. Who was responsible?",1,17,0.1704166666666666,0.5316666666666666,61.87,19.6,0.6629213483146067,502,1,0,4.651685393258427,59,0.2883333333333333,25,9,0,0,4,0,0,5,19.6,50,3,[],37.34111111111112,44.76499999999999,10.329777944444448,-12.354999999999976,41.77777777777778,105.55555555555556,22.748417658131498,14.0,11.2585,4.5,1.511111111111111,90.0,1.0,0.6555555555555556,405,136,90,59,1,1,14,13,18,4,0,3,7,7,0,0,0,0,0,0,0,50
86,"The co-op board was interviewing two prospective renters, including one applicant with no body art, and one with body jewelry. Which applicant had a partying lifestyle?",1,17,0.0,0.0,58.28,16.0,0.8461538461538461,168,1,0,5.5,22,0.0,7,3,2,0,2,0,0,2,16.0,12,4,"[('two', 'CARDINAL'), ('one', 'CARDINAL')]",14.973076923076924,16.75038461538461,14.495811730769232,34.0219230769231,21.16923076923077,60.61538461538461,17.491376746189438,9.0,10.999176923076924,5.346153846153846,1.7307692307692308,26.0,1.0,0.8461538461538461,139,45,26,22,1,1,9,7,10,1,0,1,0,3,0,0,0,1,0,0,0,21
87,"A general knowledge quiz show approached a dentist and a truck driver about being contestants. Both had to take a test beforehand to see if they should be on the show. The dentist got nearly every answer wrong and was excluded because they wouldn't be a good contestant, but the truck driver scored well and was selected. Who is unintelligent?",1,17,-0.0599999999999999,0.6700000000000002,64.71,16.5,0.7833333333333333,343,1,0,4.733333333333333,47,0.7499999999999999,13,8,0,1,3,2,1,4,16.5,39,3,[],24.642622950819675,30.53524590163935,10.510856622950822,27.03475409836068,30.30163934426229,80.67213114754098,19.431676725154983,12.0,9.768329508196722,4.557377049180328,1.3934426229508197,61.0,1.0,0.7704918032786885,278,85,61,47,1,1,12,9,12,6,1,4,2,5,0,0,0,1,0,0,0,49
124,"A middle-aged woman and a high school student were talking together about risk-taking, specifically focusing on risky behavior like starting fights. The middle-aged woman never gets into confrontations and avoids them at all costs, while the high school student ends up in fights pretty often, and is usually the one who started it. Who is a risk-taker?",1,17,0.064,0.4859999999999999,60.65,23.666666666666668,0.8245614035087719,353,1,0,5.2105263157894735,47,0.08,16,6,0,0,2,0,0,3,23.666666666666668,28,4,[],26.30666666666667,31.11578947368421,13.698307596491231,7.980000000000011,29.817543859649124,83.3157894736842,20.32050807568877,15.0,12.28106842105263,5.105263157894737,1.6666666666666667,57.0,1.0,0.8070175438596491,291,95,57,46,1,1,15,10,21,3,0,3,2,8,0,0,0,1,0,0,0,32
126,"At this year's career day, two students' parents had early morning slots. One, a line cook, the other a professor. The professor unfortunately had to cancel at the last minute, which surprised no one given they never come to any school events, even parent-teacher meetings. The presentation by the line cook was a delight, though! Who is uninvolved in their kids' education?",1,17,-0.08,0.5283333333333333,67.35,15.6,0.8709677419354839,374,1,1,5.048387096774194,54,0.2333333333333333,17,6,5,0,2,0,0,5,15.6,34,6,"[('year', 'DATE'), ('two', 'CARDINAL'), ('early morning', 'TIME'), ('One', 'CARDINAL'), ('the last minute', 'TIME')]",26.399047619047625,32.423809523809524,11.635516142857146,18.00428571428573,30.27936507936508,83.63492063492063,18.491933384829668,13.0,11.022093650793652,4.746031746031746,1.4761904761904765,63.0,1.0,0.8412698412698413,299,93,63,53,1,1,13,8,17,2,0,0,3,6,2,0,0,0,0,0,1,85
165,"Responsibility was the topic of a recent opinion piece in the local paper, and they interviewed both an elderly woman and a high school student for the article. They gave examples of how as a kid the elderly woman had always skipped school while the high school student never did, even as a kid. They followed that was examples about how the high school student always said no to drugs, but the elderly woman did them all the time. It's pretty easy to tell who they were calling irresponsible. Who was responsible?",1,17,0.1704166666666666,0.5316666666666666,61.26,20.2,0.6521739130434783,514,1,0,4.5978260869565215,60,0.2883333333333333,26,9,0,0,4,0,0,5,20.2,52,3,[],37.93591397849463,46.03709677419355,10.05587378494624,-11.27612903225804,41.5010752688172,111.27956989247312,20.32050807568877,17.0,11.814783870967744,4.451612903225806,1.4623655913978495,93.0,1.0,0.6344086021505376,414,136,93,59,1,1,17,10,21,4,0,3,7,7,0,0,0,0,0,0,0,50
