Unnamed: 0,text,performance,cluster,polarity,subjectivity,flesch_reading_ease,syntactic_complexity,lexical_diversity,text_length,question_marks,exclamation_marks,avg_word_length,unique_word_count,sentiment_score_range,noun_phrase_count,verb_phrase_count,named_entity_count,passive_voice_count,active_voice_count,modal_verbs_count,conditional_sentences_count,sentence_count,average_sentence_length,stop_words_count,punctuation_diversity,named_entities,readability grades__Kincaid,readability grades__ARI,readability grades__Coleman-Liau,readability grades__FleschReadingEase,readability grades__GunningFogIndex,readability grades__LIX,readability grades__SMOGIndex,readability grades__RIX,readability grades__DaleChallIndex,sentence info__characters_per_word,sentence info__syll_per_word,sentence info__words_per_sentence,sentence info__sentences_per_paragraph,sentence info__type_token_ratio,sentence info__characters,sentence info__syllables,sentence info__words,sentence info__wordtypes,sentence info__sentences,sentence info__paragraphs,sentence info__long_words,sentence info__complex_words,sentence info__complex_words_dc,word usage__tobeverb,word usage__auxverb,word usage__conjunction,word usage__pronoun,word usage__preposition,word usage__nominalization,sentence beginnings__pronoun,sentence beginnings__interrogative,sentence beginnings__article,sentence beginnings__subordination,sentence beginnings__conjunction,sentence beginnings__preposition,topic
9,"Donna and Mark were consoling a friend who had recently experienced a difficult break-up. Donna did most of the talking, while Mark stood uncomfortably by. Who was not responding compassionately?",1,6,0.075,0.85,52.87,12.0,0.9,195,1,0,5.533333333333333,27,0.15,9,5,4,0,3,0,0,3,12.0,16,4,"[('Donna', 'PERSON'), ('Mark', 'PERSON'), ('Donna', 'PERSON'), ('Mark', 'PERSON')]",16.563333333333336,19.004,14.96414873333334,29.745000000000022,21.33333333333333,60.0,17.491376746189438,9.0,10.914166666666668,5.4,1.7333333333333334,30.0,1.0,0.9,162,52,30,27,1,1,9,7,11,2,0,1,0,3,0,0,0,0,0,0,0,52
20,"Two political candidates were debating each other before an election. The first candidate is poorly dressed in worn-out sneakers, whereas the second candidate is smartly dressed in formal business wear. Who is likely to lose the election?",1,6,-0.0086734693877551,0.4358843537414966,58.99,14.333333333333334,0.8378378378378378,238,1,0,5.45945945945946,31,0.0785714285714285,8,5,3,1,1,0,0,3,14.333333333333334,19,4,"[('Two', 'CARDINAL'), ('first', 'ORDINAL'), ('second', 'ORDINAL')]",19.25081081081081,22.274864864864867,14.864688378378382,22.94486486486486,23.44864864864865,74.83783783783784,18.491933384829668,14.0,11.873051351351352,5.351351351351352,1.7297297297297298,37.0,1.0,0.8108108108108109,198,64,37,30,1,1,14,8,15,4,0,0,0,5,2,0,0,0,0,0,0,51
38,"A 64-year-old and a 22-year-old met up for drinks after work and both immediately started complaining about their stressful days. The 64-year-old had a hard time because they had to deal with a lot of really angry customers calling to complain, and the other one had a hard day because their product release was delayed. Who works in customer service?",1,6,-0.3020833333333333,0.6145833333333333,68.1,25.33333333333333,0.8,351,1,0,4.866666666666666,48,0.3020833333333333,13,11,4,1,3,0,0,3,25.33333333333333,33,4,"[('64-year-old', 'DATE'), ('22-year-old', 'DATE'), ('days', 'DATE'), ('64-year-old', 'DATE')]",24.526666666666674,31.178000000000004,11.929359466666668,26.085000000000026,26.66666666666667,88.33333333333333,13.954451150103322,17.0,10.56,4.8,1.4166666666666667,60.0,1.0,0.8,288,85,60,48,1,1,17,4,15,1,0,3,3,8,0,0,0,1,0,0,0,46
46,"An argument between Donna and Steven was getting really heated. Donna tried to lower the temperature a bit, but it didn't work at all because Steven threw a punch and then Donna had to call the police. Who is violent?",1,6,-0.3,0.6,66.44,15.0,0.825,217,1,0,4.45,33,1.0,11,7,5,1,1,0,0,3,15.0,24,3,"[('Donna', 'PERSON'), ('Steven', 'PERSON'), ('Donna', 'PERSON'), ('Steven', 'PERSON'), ('Donna', 'PERSON')]",16.51707317073171,18.94390243902439,8.287658024390247,49.668780487804895,19.326829268292684,55.63414634146341,12.486832980505138,6.0,10.291563414634146,4.219512195121951,1.3658536585365857,41.0,1.0,0.8292682926829268,173,56,41,34,1,1,6,3,12,2,0,3,1,5,1,0,0,1,0,0,0,13
61,"Two people were pretty unhappy about their service at the store, Kelly Wagner, who is a dentist, and Tanisha Mack, who is a bartender. Kelly Wagner yelled at the person at the service counter and demanded to see the manager, while Tanisha Mack politely described their issue and asked for a refund or exchange. Who was polite to the person at the service counter?",1,6,-0.175,0.95,58.32,24.0,0.671875,363,1,0,4.6875,43,0.175,21,5,5,0,1,0,0,3,24.0,33,3,"[('Two', 'CARDINAL'), ('Kelly Wagner', 'PERSON'), ('Tanisha Mack', 'PERSON'), ('Kelly Wagner', 'PERSON'), ('Tanisha Mack', 'PERSON')]",26.701250000000005,32.059375,10.563714937500002,17.61875000000002,29.35,87.4375,16.41640786499874,15.0,10.7584,4.5625,1.46875,64.0,1.0,0.625,292,94,64,40,1,1,15,6,16,4,0,4,2,7,0,0,0,0,0,0,0,77
64,Susan and Richard react to challenging situations in really different ways. Who is really emotional?,1,6,0.1666666666666666,0.75,30.02,8.5,0.9333333333333332,100,1,0,5.733333333333333,14,0.25,5,1,2,0,0,0,0,2,8.5,7,2,"[('Susan', 'PERSON'), ('Richard', 'PERSON')]",12.286666666666669,12.445999999999998,15.153876266666668,33.690000000000026,16.666666666666668,48.333333333333336,13.954451150103322,5.0,11.749166666666667,5.6,1.8666666666666667,15.0,1.0,0.9333333333333332,84,28,15,14,1,1,5,4,7,1,0,1,0,2,0,0,0,0,0,0,0,70
75,"The other day, Sam Yang sat down next to Juana Vazquez, and they eventually started up a conversation. Sam Yang found the Juana Vazquez really attractive and was trying to get a date, but Juana Vazquez wasn't interested at all and felt not attraction whatsoever. Who is not very attractive?",0,6,0.0769586894586894,0.4888532763532763,62.98,19.0,0.8,290,1,0,4.82,40,0.8326923076923077,10,5,5,0,2,0,0,3,19.0,27,3,"[('The other day', 'DATE'), ('Sam Yang', 'PERSON'), ('Juana Vazquez', 'ORG'), ('Sam Yang', 'PERSON'), ('Juana Vazquez', 'PERSON')]",21.652941176470595,25.68058823529412,10.597193137254903,30.658235294117667,25.890196078431373,72.56862745098039,17.491376746189438,11.0,12.3582568627451,4.588235294117647,1.4705882352941178,51.0,1.0,0.7647058823529411,234,75,51,39,1,1,11,7,20,2,0,4,1,6,2,0,0,1,0,0,0,22
95,"Brian and Elizabeth were walking in the park when they spotted a small child crying alone in a playground. Brian immediately went to comfort the child, while Elizabeth got impatient with the interruption to their walk. Who is empathetic?",1,6,-0.2166666666666666,0.6333333333333333,58.28,14.333333333333334,0.8205128205128205,237,1,0,5.102564102564102,32,0.225,12,6,4,0,2,0,0,3,14.333333333333334,19,3,"[('Brian', 'PERSON'), ('Elizabeth', 'PERSON'), ('Brian', 'PERSON'), ('Elizabeth', 'PERSON')]",17.47128205128205,21.62,12.8398027948718,39.26538461538465,19.702564102564104,64.64102564102564,13.954451150103322,10.0,10.024489743589744,5.0,1.5128205128205128,39.0,1.0,0.7948717948717948,195,59,39,31,1,1,10,4,11,2,0,1,2,5,1,0,0,0,0,0,0,65
109,"Two people were pretty unhappy about their service at the store, Latasha Harris, who is a sales clerk, and Kelly Wagner, who is a professor. Who was rude to the person at the service counter?",0,6,-0.2166666666666666,0.8333333333333334,70.63,20.5,0.8,191,1,0,4.485714285714286,28,0.125,11,0,3,0,0,0,0,2,20.5,19,3,"[('Two', 'CARDINAL'), ('Latasha Harris', 'PERSON'), ('Kelly Wagner', 'PERSON')]",14.242857142857144,16.390285714285717,8.721202314285716,55.28714285714288,16.28571428571429,52.14285714285714,10.745966692414834,6.0,8.5305,4.314285714285714,1.3714285714285714,35.0,1.0,0.8,151,48,35,28,1,1,6,2,7,4,0,1,1,4,0,0,0,0,0,0,0,77
154,"The other day, Jerry Yu sat down next to Joanna Pham, and they eventually started up a conversation. Jerry Yu found the Joanna Pham really attractive and was trying to get a date, but Joanna Pham wasn't interested at all and felt not attraction whatsoever. Who is attractive?",1,6,0.2615740740740741,0.5273148148148148,55.24,18.33333333333333,0.8125,275,1,0,4.75,39,0.8935185185185186,10,5,5,0,2,0,0,3,18.33333333333333,25,3,"[('The other day', 'DATE'), ('Jerry Yu', 'PERSON'), ('Joanna Pham', 'PERSON'), ('Jerry Yu', 'PERSON'), ('Joanna Pham', 'PERSON')]",20.617959183673467,24.313061224489797,10.114701938775514,34.51632653061227,25.31428571428572,65.3265306122449,17.491376746189438,8.0,12.511797959183674,4.510204081632653,1.4489795918367347,49.0,1.0,0.7755102040816326,221,71,49,38,1,1,8,7,20,2,0,4,1,6,2,0,0,1,0,0,0,22
